n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
chocano	Ya a indómito corcel pone la brida,	Ya a indómito corcel pone la brida,	11	1 2 6 7 10	2 6 10	Endecasílabo heroico puro	0.8
chocano	ya lacea una res: él es el brazo	ya lacea una res: él es el brazo	11	1 3 4 6 7 8 10	1 3 6 8 10	Endecasílabo melódico pleno	0.8
chocano	Al son de la guitarra, en el regazo	Al son de la guitarra, en el regazo	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
chocano	de su «prenda», quejoso de la vida,	de su «prenda», quejoso de la vida,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	desenvuelve con voz adolorida	desenvuelve con voz adolorida	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	una canción como si fuera un lazo	una canción como si fuera un lazo	11	1 4 8 9 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
chocano	Cuadro es la Pampa en que el afán se encierra	Cuadro es la Pampa en que el afán se encierra	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
chocano	del gaucho, erguido en actitud briosa,	del gaucho erguido en actitud bri~osa	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	sobre ese gran cansancio de la tierra;	sobre ese gran cansancio de la tierra;	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
chocano	porque el bostezo de la Pampa verde	porque el bostezo de la Pampa verde	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	es como una fatiga que reposa	es como una fatiga que reposa	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
chocano	o es como una esperanza que se pierde	o es como una esperanza que se pierde	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
chocano	No beberé en las linfas de la castalia fuente,	No beberé en las linfas de la castalia fuente,	14	1 4 6 11 13	-	Alejandrino	1.0
chocano	ni cruzaré los bosques floridos del Parnaso	ni cruzaré los bosques floridos del Parnaso	14	4 6 9 13	-	Alejandrino	1.0
chocano	ni tras las nueve hermanas dirigiré mi paso:	ni tras las nueve hermanas dirigiré mi paso:	14	4 6 11 13	-	Alejandrino	1.0
chocano	pero, al cantar mis himnos, levantaré la frente.	pero, al cantar mis himnos, levantaré la frente.	14	4 6 11 13	-	Alejandrino	1.0
chocano	Mi culto no es el culto de la pasada gente,	Mi culto no es el culto de la pasada gente,	14	2 4 6 11 13	-	Alejandrino	1.0
chocano	ni me es bastante el vuelo solemne del Pegaso:	ni me es bastante el vuelo solemne del Pegaso:	14	2 4 6 9 13	-	Alejandrino	1.0
chocano	los trópicos avivan la flama en que me abraso;	los trópicos avivan la flama en que me abraso;	14	2 6 9 13	-	Alejandrino	1.0
chocano	y en mis oídos suenan la voz de un Continente.	y en mis oídos suenan la voz de un Continente.	14	4 6 9 10 13	-	Alejandrino	1.0
chocano	Yo beberé en las aguas de caudalosos ríos;	Yo beberé en las aguas de caudalosos ríos;	14	1 4 6 11 13	-	Alejandrino	1.0
chocano	yo cruzare otros bosques lozanos y bravíos;	yo cruzare otros bosques lozanos y bravíos;	14	1 3 4 6 9 13	-	Alejandrino	1.0
chocano	yo buscaré a otra Musa que asombre al Universo.	yo buscaré a otra Musa que asombre al Universo.	14	1 4 6 9 13	-	Alejandrino	1.0
chocano	Yo de una rima fácil haré mi carabela;	Yo de una rima fácil haré mi carabela;	14	1 2 4 6 9 13	-	Alejandrino	1.0
chocano	me sentaré en la popa; desataré la vela;	me sentaré en la popa; desataré la vela;	14	4 6 11 13	-	Alejandrino	1.0
chocano	y zarparé a las Indias, como un Colón del verso.	y zarparé a las Indias, como un Colón del verso.	14	4 6 9 11 13	-	Alejandrino	1.0
chocano	Cada volcán levanta su figura,	Cada volcán levanta su figura,	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
chocano	cual si de pronto, ante la faz del cielo,	cual si de pronto, ante la faz del cielo,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	suspendiesen el ángulo de un vuelo	suspendiesen el ángulo de un vuelo	11	3 6 9 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	dos dedos invisibles de la altura	dos dedos invisibles de la altura	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	La cresta es blanca y como blanca pura:	La cresta es blanca y como blanca pura:	11	2 3 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	0.9
chocano	la entraña hierve en inflamado anhelo;	la entraña hierve en inflamado anhelo;	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	y sobre el horno aquel contrasta el hielo,	y sobre el horno aquel contrasta el hielo,	11	4 6 8 10	4 6 8 10	Endecasílabo sáfico largo	1.0
chocano	cual sobre una pasión un alma dura.	cual sobre una pasión un alma dura.	11	3 6 7 8 10	3 6 8 10	Endecasílabo melódico largo	0.9
chocano	Los volcanes son túmulos de piedra,	Los volcanes son túmulos de piedra,	11	3 5 6 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	pero a sus pies los valles que florecen	pero a sus pies los valles que florecen	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
chocano	fingen alfombras de irisada yedra;	fingen alfombras de irisada yedra;	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
chocano	y por eso, entre campos de colores,	y por eso, entre campos de colores,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	al destacarse en el azul, parecen	al destacarse en el azul, parecen	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	cestas volcadas derramando flores.	cestas volcadas derramando flores.	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
chocano	Robó el oro su lustre a tu cabello	Robó el oro su lustre a tu cabello	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	y a tu boca el coral su sangre pura;	y a tu boca el coral su sangre pura;	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
chocano	ostenta el mármol como tú su albura	ostenta el mármol como tú su albura	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	y el cisne arquea como tú su cuello	y el cisne arquea como tú su cuello	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	En tu sonrisa se estremece el sello	En tu sonrisa se estremece el sello	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	de un beso del amor a la hermosura,	de un beso del amor a la hermosura,	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	y en tu mirada trémula fulgura	y en tu mirada trémula fulgura	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
chocano	la lucha de una sombra y un destello	la lucha de una sombra y   un destello	11	2 4 6 8 10	2 4 6 8 10	Endecasílabo heroico pleno	1.0
chocano	Lohengrín te ha soñado como un rubio	Lohengrín te ha soñado como un rubio	11	3 4 6 9 10	3 6 10	Endecasílabo melódico puro	0.8
chocano	querub, envuelto entre flotantes tules,	querub, envuelto entre flotantes tules,	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	sobre su cisne blanco, en el Danubio;	sobre su cisne blanco, en el Danubio;	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
chocano	y ha visto que halagando sus antojos,	y ha visto que halagando sus antojos,	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	no son tus ojos como el cielo azules,	no son tus ojos como el cielo azules,	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
chocano	sino el cielo es azul como tus ojos.	sino el cielo es azul como tus ojos.	11	3 4 6 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	Es un pájaro mudo, pero hermoso; una alhaja	Es un pájaro mudo, pero hermoso; una alhaja	14	1 2 3 6 10 11 13	-	Alejandrino	1.0
chocano	que ha salido volando de un arcón reluciente	que ha salido volando de un arcón reluciente	14	1 3 6 8 10 13	-	Alejandrino	1.0
chocano	En el hueco de un tronco, fino estuche trabaja,	En el hueco de un tronco, fino estuche trabaja,	14	3 5 6 8 10 13	-	Alejandrino	1.0
chocano	donde finge un penacho de monárquica frente	donde finge un penacho de monárquica frente	14	3 4 6 10 13	-	Alejandrino	1.0
chocano	Nunca en vil cautiverio sus prestigios rebaja;	Nunca en vil cautiverio sus prestigios rebaja;	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	y antes goza el orgullo de morir libremente:	y antes goza el orgullo de morir libremente:	14	1 3 6 10 11 13	-	Alejandrino	1.0
chocano	si se quiebran las plumas en su estuche se encaja	si se quiebran las plumas en su estuche se encaja	14	3 6 10 13	-	Alejandrino	1.0
chocano	y principia a morirse de la pena que siente.	y principia a morirse de la pena que siente.	14	3 6 10 13	-	Alejandrino	1.0
chocano	Tal orgullo es su orgullo que es un símbolo alado,	Tal orgullo es su orgullo que es un símbolo alado,	14	1 3 4 6 8 9 10 13	-	Alejandrino	1.0
chocano	por su gesto de raza, por su instinto de gloria:	por su gesto de raza, por su instinto de gloria:	14	3 6 10 13	-	Alejandrino	1.0
chocano	él jamás vivió en rejas, ni jamás se ha manchado.	él jamás vivió en rejas, ni jamás se ha manchado.	14	1 3 5 6 10 11 13	-	Alejandrino	1.0
chocano	Con nobleza de artista y altivez de guerrero,	Con nobleza de artista y altivez de guerrero,	14	3 6 10 13	-	Alejandrino	1.0
chocano	¡merecía la suerte de haber sido en la Historia	¡merecía la suerte de haber sido en la Historia	14	3 6 9 10 13	-	Alejandrino	1.0
chocano	un blasón con la frase de Francisco primero!	un blasón con la frase de Francisco primero!	14	1 3 6 10 13	-	Alejandrino	1.0
